skill	level	user_id
Android	Paid	190
Computer Architecture	Academic	190
Distributed Programming	Practical	190
Front-end Web Frameworks	Paid	190
iOS / iPhone	Paid	190
Network Programming	Paid	190
Nodejs	Practical	190
Responsive Web Development	Academic	190
SQL	Paid	190
Testing	Paid	190
Web Development	Paid	190
Actionscript / Flash	Academic	190
C/C++	Academic	190
CSS	Paid	190
HTML	Paid	190
Java	Paid	190
Javascript	Practical	190
.NET (C# and VB.net)	Academic	190
Objective C / Swift	Paid	190
Postgres	Practical	190
Python	Academic	190
Ruby on Rails	Paid	190
SQL Server	Paid	190
User Experience	Academic	190
Micro-controller Programming	Practical	190
Robotics	Practical	190
Database Administration	Practical	190
Distributed Computing / Virtualisation	Academic	190
Information Security	Academic	190
Network Architecture	Academic	190
Network Engineering	Paid	190
Switches / Routers	Academic	190
Systems Engineering	Academic	190
SQLServer DBA	Practical	190
Project Management	Academic	190
AI	Interested	190
Android	Interested	190
Computer Architecture	Interested	190
Distributed Programming	Interested	190
Front-end Web Frameworks	Interested	190
iOS / iPhone	Interested	190
Linux / Unix	Interested	190
Network Programming	Interested	190
Nodejs	Interested	190
Responsive Web Development	Interested	190
SQL	Interested	190
Testing	Interested	190
Web Development	Interested	190
Windows Universal Apps	Interested	190
C/C++	Interested	190
CSS	Interested	190
HTML	Interested	190
Java	Interested	190
Javascript	Interested	190
MySQL	Interested	190
.NET (C# and VB.net)	Interested	190
Objective C / Swift	Interested	190
Perl	Interested	190
PHP	Interested	190
Postgres	Interested	190
Python	Interested	190
Ruby on Rails	Interested	190
Typography	Interested	190
User Experience	Interested	190
Electronic Design	Interested	190
Micro-controller Programming	Interested	190
Robotics	Interested	190
Clustering	Interested	190
Database Administration	Interested	190
Distributed Computing / Virtualisation	Interested	190
Firewalls	Interested	190
Load Balancers	Interested	190
Network Architecture	Interested	190
Network Engineering	Interested	190
NoSQL	Interested	190
Security Analysis	Interested	190
Switches / Routers	Interested	190
Systems Engineering	Interested	190
Systems Infrastructure	Interested	190
Mac OSX Admin	Interested	190
MySQL DBA	Interested	190
Oracle DBA	Interested	190
Postgres DBA	Interested	190
SQLServer DBA	Interested	190
Systems Administration - Unix / Linux	Interested	190
Systems Administration - Windows	Interested	190
Vmware	Interested	190
Project Management	Interested	190
AI	Academic	219
Android	Practical	219
Linux / Unix	Practical	219
Network Programming	Academic	219
SQL	Academic	219
C/C++	Academic	219
Java	Academic	219
PHP	Academic	219
Postgres	Academic	219
Python	Academic	219
3D Modelling	Practical	219
Postgres DBA	Academic	219
Agile	Academic	219
Android	Interested	219
Linux / Unix	Interested	219
SQL	Interested	219
